PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,CharacterCount
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,EMPLOYEE,CREATE TABLE,HR,01-tables.sql,654,10,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,INTERVAL_DATA_TYPE,CREATE TABLE,PRODUCT,01-tables.sql,666,20,Low,Fully Converted,MSCEWI1036 | MSCEWI2065 | MSCEWI2015,,,--,100%,15,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,EMPLOYEE_PERIOD,CREATE TABLE,HR,01-tables.sql,688,16,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065 | MSCEWI2015,,,--,100%,4,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,EMPLOYEE_PHONE_INFO,CREATE TABLE,HR,01-tables.sql,706,11,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,ERR_SP_LOG,CREATE TABLE,PRODUCT,01-tables.sql,719,10,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,FLIGHTS,CREATE TABLE,HR,01-tables.sql,731,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,PERSON_LOGIN,CREATE TABLE,HR,01-tables.sql,743,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,INTERVAL_FUNCTION,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,21,11,Low,Fully Converted,MSCEWI1020 | MSCEWI2053,,,--,100%,4,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,vtruncround,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,38,21,Low,Fully Converted,MSCEWI1020 | MSCEWI1050,TRUNC_UDF|ROUND_DATE_UDF,TRUNC_UDF.sql|ROUND_DATE_UDF.sql,--,100%,9,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,REACHABLE_FROM,CREATE / REPLACE VIEW,HR_VIEWS,02-views.sql,65,20,,Fully Converted,,,,--,100%,0,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,FACTFINANCE_COPY_WITHOUT_DATA,CREATE TABLE,SALES_VIEWS,02-views.sql,101,3,,Fully Converted,,,,--,100%,0,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,INTERVAL_DATA_TYPE_V,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,110,4,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,PERIOD_OVERLAP_LDIFF,CREATE / REPLACE VIEW,HR_VIEWS,02-views.sql,116,15,Low,Fully Converted,MSCEWI1020 | MSCEWI2053 | MSCEWI1050,PERIOD_OVERLAPS_UDF,PERIOD_UDF.sql,--,100%,14,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,INTERVAL_DATA,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,134,18,,Fully Converted,,,,--,100%,0,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,PERIOD_INTERVAL_BEGIN,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,154,19,Low,Fully Converted,MSCEWI1020 | MSCEWI2053 | MSCEWI1050,,,--,100%,7,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,MY_VIEW_11,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,20,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,MY_VIEW_12,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,26,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,MY_VIEW_1,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,34,3,,Fully Converted,,,,--,100%,0,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,MY_VIEW_2,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,40,3,,Fully Converted,,,,--,100%,0,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,MY_VIEW_3,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,46,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,
7b6b8610-1315-4ca1-966f-ff171f479687,SQL,ACT_COUNT,CREATE TABLE,Undefined DB name,table/hr/act_count.sql,2,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,
